modif_id,shop_id,cost,link
4053,19,28520,Quke.ru
270,1,142048,https://www.citilink.ru/
3280,13,146443,StoreX24.ru
3900,11,144201,https://ulmart-katalog.ru/
2674,15,17772,Video-shoper.ru
3766,7,115706,https://www.holodilnik.ru/
5776,3,74861,https://www.eldorado.ru/
5531,19,111597,Quke.ru
3941,1,135916,https://www.citilink.ru/
1269,2,53614,https://www.dns-shop.ru/
2,12,42428,https://www.techport.ru/
3785,16,78800,Sold-Out.ru
265,20,21554,iPort.ru
2787,14,56294,Wishmaster.me
909,0,69731,https://www.mvideo.ru/
1678,11,52259,https://ulmart-katalog.ru/
5300,17,53692,coxo.ru
1072,19,101864,Quke.ru
5218,14,110145,Wishmaster.me
3745,1,76086,https://www.citilink.ru/
3358,11,33063,https://ulmart-katalog.ru/
4473,21,32049,123.ru
4609,15,125465,Video-shoper.ru
4092,19,31001,Quke.ru
756,7,55797,https://www.holodilnik.ru/
5696,18,148828,Shop-Trubka.ru
1984,3,144446,https://www.eldorado.ru/
55,11,55638,https://ulmart-katalog.ru/
4318,15,97461,Video-shoper.ru
1236,16,120853,Sold-Out.ru
1380,5,37650,https://www.svyaznoy.ru/
5291,15,49411,Video-shoper.ru
5800,12,102379,https://www.techport.ru/
4478,5,131751,https://www.svyaznoy.ru/
4338,2,74722,https://www.dns-shop.ru/
818,6,130218,https://re-store.ru/
3014,18,143891,Shop-Trubka.ru
3418,14,65665,Wishmaster.me
3812,13,30435,StoreX24.ru
3916,3,116467,https://www.eldorado.ru/
4683,5,149463,https://www.svyaznoy.ru/
84,18,81164,Shop-Trubka.ru
2,13,31248,StoreX24.ru
603,1,31725,https://www.citilink.ru/
2453,13,76566,StoreX24.ru
3791,2,92311,https://www.dns-shop.ru/
4879,2,109925,https://www.dns-shop.ru/
2307,1,10143,https://www.citilink.ru/
3464,7,92620,https://www.holodilnik.ru/
2286,13,38669,StoreX24.ru
3965,9,34150,https://www.oldi.ru/
1581,3,90754,https://www.eldorado.ru/
5597,1,131395,https://www.citilink.ru/
918,20,116169,iPort.ru
1500,7,69848,https://www.holodilnik.ru/
1313,3,104186,https://www.eldorado.ru/
2771,18,120141,Shop-Trubka.ru
1200,7,61451,https://www.holodilnik.ru/
2047,3,49514,https://www.eldorado.ru/
4744,5,49455,https://www.svyaznoy.ru/
3615,20,10870,iPort.ru
4744,19,109709,Quke.ru
3883,16,114496,Sold-Out.ru
1317,11,110709,https://ulmart-katalog.ru/
4515,10,91852,https://kcentr.ru/
33,15,14216,Video-shoper.ru
2649,4,89765,https://biggeek.ru/
4000,17,37868,coxo.ru
856,19,72493,Quke.ru
2525,19,139059,Quke.ru
49,19,111338,Quke.ru
5022,6,146119,https://re-store.ru/
3215,19,145500,Quke.ru
5284,21,40251,123.ru
1153,18,79018,Shop-Trubka.ru
3271,5,28046,https://www.svyaznoy.ru/
1769,19,121153,Quke.ru
2116,19,20576,Quke.ru
560,21,101542,123.ru
3865,11,129547,https://ulmart-katalog.ru/
5149,1,129705,https://www.citilink.ru/
1419,1,111218,https://www.citilink.ru/
4274,12,45994,https://www.techport.ru/
1911,8,13062,https://sbermegamarket.ru/
4641,16,53341,Sold-Out.ru
2763,4,129901,https://biggeek.ru/
2654,15,63862,Video-shoper.ru
4684,9,142849,https://www.oldi.ru/
367,18,148489,Shop-Trubka.ru
874,20,109644,iPort.ru
1433,7,39341,https://www.holodilnik.ru/
2184,12,121187,https://www.techport.ru/
804,4,108248,https://biggeek.ru/
1085,11,95926,https://ulmart-katalog.ru/
3615,9,30492,https://www.oldi.ru/
2670,10,60941,https://kcentr.ru/
900,7,40658,https://www.holodilnik.ru/
758,0,76045,https://www.mvideo.ru/
885,3,19498,https://www.eldorado.ru/
5452,7,120661,https://www.holodilnik.ru/
5762,4,27763,https://biggeek.ru/
3590,7,97359,https://www.holodilnik.ru/
593,2,143650,https://www.dns-shop.ru/
3991,3,124230,https://www.eldorado.ru/
904,10,51973,https://kcentr.ru/
4114,14,93349,Wishmaster.me
1008,11,58915,https://ulmart-katalog.ru/
3617,2,18485,https://www.dns-shop.ru/
902,20,18312,iPort.ru
70,13,113224,StoreX24.ru
3405,21,78409,123.ru
5743,7,16443,https://www.holodilnik.ru/
5354,3,125790,https://www.eldorado.ru/
1588,9,83682,https://www.oldi.ru/
5591,6,124621,https://re-store.ru/
3965,18,30777,Shop-Trubka.ru
5516,1,98843,https://www.citilink.ru/
2780,7,35777,https://www.holodilnik.ru/
2575,9,35522,https://www.oldi.ru/
2761,7,38798,https://www.holodilnik.ru/
5518,1,67755,https://www.citilink.ru/
3777,19,84036,Quke.ru
2569,5,26205,https://www.svyaznoy.ru/
4508,8,128328,https://sbermegamarket.ru/
4463,15,61100,Video-shoper.ru
4631,21,69221,123.ru
5810,3,11607,https://www.eldorado.ru/
3805,6,114386,https://re-store.ru/
4058,13,121900,StoreX24.ru
1786,2,127745,https://www.dns-shop.ru/
1831,9,63440,https://www.oldi.ru/
5374,8,127392,https://sbermegamarket.ru/
995,6,129526,https://re-store.ru/
3242,7,20310,https://www.holodilnik.ru/
3914,7,95751,https://www.holodilnik.ru/
2023,5,134366,https://www.svyaznoy.ru/
3429,2,11524,https://www.dns-shop.ru/
3323,5,61541,https://www.svyaznoy.ru/
2789,17,67868,coxo.ru
1814,21,119136,123.ru
5740,17,135361,coxo.ru
5645,20,33104,iPort.ru
4036,13,21927,StoreX24.ru
4615,0,55419,https://www.mvideo.ru/
5671,0,47984,https://www.mvideo.ru/
3724,17,97384,coxo.ru
2609,11,13131,https://ulmart-katalog.ru/
1353,17,31104,coxo.ru
2305,10,119518,https://kcentr.ru/
659,16,105108,Sold-Out.ru
1625,2,137748,https://www.dns-shop.ru/
4573,20,107462,iPort.ru
5296,8,142909,https://sbermegamarket.ru/
2921,11,97513,https://ulmart-katalog.ru/
5251,2,31291,https://www.dns-shop.ru/
3856,20,11135,iPort.ru
3535,3,67595,https://www.eldorado.ru/
454,4,134791,https://biggeek.ru/
2297,19,141282,Quke.ru
5888,3,86771,https://www.eldorado.ru/
4760,16,75470,Sold-Out.ru
2266,4,78478,https://biggeek.ru/
4621,12,123673,https://www.techport.ru/
422,5,28415,https://www.svyaznoy.ru/
1619,17,35472,coxo.ru
5009,3,13005,https://www.eldorado.ru/
3143,13,102189,StoreX24.ru
4303,12,21953,https://www.techport.ru/
1514,17,23092,coxo.ru
1526,11,138392,https://ulmart-katalog.ru/
1992,8,145390,https://sbermegamarket.ru/
4754,19,95789,Quke.ru
540,6,76976,https://re-store.ru/
2951,14,36407,Wishmaster.me
5347,0,112700,https://www.mvideo.ru/
274,18,89023,Shop-Trubka.ru
5331,7,91068,https://www.holodilnik.ru/
2624,11,110400,https://ulmart-katalog.ru/
3109,10,71320,https://kcentr.ru/
2942,1,34925,https://www.citilink.ru/
2664,16,86010,Sold-Out.ru
3692,8,133426,https://sbermegamarket.ru/
1942,3,124341,https://www.eldorado.ru/
2175,21,111983,123.ru
4489,21,100955,123.ru
3467,2,79939,https://www.dns-shop.ru/
5122,20,28712,iPort.ru
4737,0,78183,https://www.mvideo.ru/
5066,13,102990,StoreX24.ru
970,7,141595,https://www.holodilnik.ru/
3015,0,122565,https://www.mvideo.ru/
5249,21,101111,123.ru
1966,11,13593,https://ulmart-katalog.ru/
4267,10,133713,https://kcentr.ru/
5440,10,22141,https://kcentr.ru/
5265,16,114520,Sold-Out.ru
3116,1,55391,https://www.citilink.ru/
103,21,89297,123.ru
4477,6,18233,https://re-store.ru/
1205,19,104988,Quke.ru
5648,10,88640,https://kcentr.ru/
575,7,62988,https://www.holodilnik.ru/
2962,15,124893,Video-shoper.ru
3841,3,96476,https://www.eldorado.ru/
4926,2,116187,https://www.dns-shop.ru/
44,3,112076,https://www.eldorado.ru/
5686,7,55059,https://www.holodilnik.ru/
3961,2,15343,https://www.dns-shop.ru/
2185,9,22176,https://www.oldi.ru/
4497,9,125174,https://www.oldi.ru/
3692,19,49885,Quke.ru
4140,21,98057,123.ru
3625,18,27723,Shop-Trubka.ru
3667,4,89627,https://biggeek.ru/
5915,17,33630,coxo.ru
4867,18,90935,Shop-Trubka.ru
4346,21,57090,123.ru
3515,21,98277,123.ru
3432,14,105086,Wishmaster.me
3963,8,95902,https://sbermegamarket.ru/
2879,15,139003,Video-shoper.ru
5320,11,69816,https://ulmart-katalog.ru/
5111,15,95305,Video-shoper.ru
4438,7,19043,https://www.holodilnik.ru/
5156,12,69081,https://www.techport.ru/
2993,20,24954,iPort.ru
3480,1,39443,https://www.citilink.ru/
5263,18,144820,Shop-Trubka.ru
2706,20,38896,iPort.ru
336,5,57113,https://www.svyaznoy.ru/
2852,15,102068,Video-shoper.ru
818,6,148754,https://re-store.ru/
1766,11,118994,https://ulmart-katalog.ru/
3208,10,96517,https://kcentr.ru/
902,17,101871,coxo.ru
1352,3,112935,https://www.eldorado.ru/
5409,14,71992,Wishmaster.me
975,8,37514,https://sbermegamarket.ru/
5862,14,109345,Wishmaster.me
4884,6,90568,https://re-store.ru/
4324,7,122717,https://www.holodilnik.ru/
383,0,50602,https://www.mvideo.ru/
1341,17,19521,coxo.ru
3280,8,149395,https://sbermegamarket.ru/
4782,17,15742,coxo.ru
5397,18,85746,Shop-Trubka.ru
5146,19,18605,Quke.ru
5532,18,128287,Shop-Trubka.ru
2949,13,71536,StoreX24.ru
731,13,82002,StoreX24.ru
356,12,133037,https://www.techport.ru/
3532,4,127319,https://biggeek.ru/
4844,20,30139,iPort.ru
1775,17,132426,coxo.ru
3352,18,130426,Shop-Trubka.ru
3902,11,58692,https://ulmart-katalog.ru/
2129,3,76665,https://www.eldorado.ru/
416,18,28478,Shop-Trubka.ru
682,9,141511,https://www.oldi.ru/
628,11,39561,https://ulmart-katalog.ru/
5434,14,142036,Wishmaster.me
1151,10,51669,https://kcentr.ru/
1121,1,107342,https://www.citilink.ru/
2517,21,79948,123.ru
2433,12,62269,https://www.techport.ru/
4809,15,123887,Video-shoper.ru
179,18,57862,Shop-Trubka.ru
1452,11,97825,https://ulmart-katalog.ru/
5188,0,73469,https://www.mvideo.ru/
4202,14,138761,Wishmaster.me
4358,17,58576,coxo.ru
4865,9,19627,https://www.oldi.ru/
4884,13,31616,StoreX24.ru
1746,15,52176,Video-shoper.ru
2872,16,71653,Sold-Out.ru
3623,6,133529,https://re-store.ru/
1546,15,121265,Video-shoper.ru
624,4,43731,https://biggeek.ru/
227,13,97929,StoreX24.ru
334,20,15362,iPort.ru
5913,13,16604,StoreX24.ru
1776,4,126903,https://biggeek.ru/
2112,9,125632,https://www.oldi.ru/
2498,13,35430,StoreX24.ru
2287,14,131471,Wishmaster.me
5858,19,97699,Quke.ru
1406,2,22702,https://www.dns-shop.ru/
3073,6,90279,https://re-store.ru/
5763,14,53587,Wishmaster.me
2725,4,26106,https://biggeek.ru/
1932,0,18302,https://www.mvideo.ru/
415,5,64450,https://www.svyaznoy.ru/
3915,9,43066,https://www.oldi.ru/
4760,10,111459,https://kcentr.ru/
4874,7,131352,https://www.holodilnik.ru/
5130,12,131663,https://www.techport.ru/
2398,19,46358,Quke.ru
855,8,10967,https://sbermegamarket.ru/
4946,14,94904,Wishmaster.me
4513,9,130210,https://www.oldi.ru/
2466,17,138940,coxo.ru
3536,6,41076,https://re-store.ru/
2412,14,65717,Wishmaster.me
3804,5,20897,https://www.svyaznoy.ru/
2927,3,12018,https://www.eldorado.ru/
4981,0,94990,https://www.mvideo.ru/
2844,4,97179,https://biggeek.ru/
3244,19,132450,Quke.ru
4473,2,35908,https://www.dns-shop.ru/
4509,17,71130,coxo.ru
5083,14,102254,Wishmaster.me
2762,2,53821,https://www.dns-shop.ru/
5770,3,146660,https://www.eldorado.ru/
5091,7,123197,https://www.holodilnik.ru/
3552,19,65275,Quke.ru
4064,11,63554,https://ulmart-katalog.ru/
5120,0,98398,https://www.mvideo.ru/
5569,0,24221,https://www.mvideo.ru/
5804,17,110004,coxo.ru
1169,14,70387,Wishmaster.me
24,0,118067,https://www.mvideo.ru/
2473,18,131014,Shop-Trubka.ru
1171,19,44418,Quke.ru
4509,19,60701,Quke.ru
485,16,92020,Sold-Out.ru
805,9,54095,https://www.oldi.ru/
306,21,149899,123.ru
1277,10,137439,https://kcentr.ru/
871,17,37088,coxo.ru
4678,8,147797,https://sbermegamarket.ru/
4419,17,16684,coxo.ru
1090,13,90287,StoreX24.ru
4022,11,98379,https://ulmart-katalog.ru/
4019,3,142337,https://www.eldorado.ru/
5245,21,126690,123.ru
5723,14,46917,Wishmaster.me
1899,18,96266,Shop-Trubka.ru
1732,12,142897,https://www.techport.ru/
2554,6,88827,https://re-store.ru/
729,4,69643,https://biggeek.ru/
4024,8,107206,https://sbermegamarket.ru/
4693,12,132468,https://www.techport.ru/
2673,13,41574,StoreX24.ru
3231,8,130408,https://sbermegamarket.ru/
269,5,47393,https://www.svyaznoy.ru/
1179,14,89854,Wishmaster.me
1042,9,99499,https://www.oldi.ru/
4190,2,108722,https://www.dns-shop.ru/
2013,16,35173,Sold-Out.ru
2575,19,128761,Quke.ru
2459,13,55034,StoreX24.ru
2932,4,116078,https://biggeek.ru/
3839,17,37599,coxo.ru
1458,3,83889,https://www.eldorado.ru/
5003,2,81979,https://www.dns-shop.ru/
3724,4,111355,https://biggeek.ru/
2380,6,122259,https://re-store.ru/
379,2,142930,https://www.dns-shop.ru/
3273,8,36441,https://sbermegamarket.ru/
1183,10,22248,https://kcentr.ru/
5467,11,118276,https://ulmart-katalog.ru/
4268,19,71950,Quke.ru
4690,18,138187,Shop-Trubka.ru
1708,5,40781,https://www.svyaznoy.ru/
3458,7,87250,https://www.holodilnik.ru/
5658,14,83099,Wishmaster.me
5072,3,29136,https://www.eldorado.ru/
4200,13,53558,StoreX24.ru
2721,0,38001,https://www.mvideo.ru/
3901,3,40013,https://www.eldorado.ru/
1158,10,70030,https://kcentr.ru/
3479,19,122125,Quke.ru
5305,0,32059,https://www.mvideo.ru/
2313,17,64558,coxo.ru
2855,16,140522,Sold-Out.ru
1367,2,56375,https://www.dns-shop.ru/
3053,18,39086,Shop-Trubka.ru
5856,11,28509,https://ulmart-katalog.ru/
1151,16,125618,Sold-Out.ru
5816,9,10077,https://www.oldi.ru/
4607,10,20636,https://kcentr.ru/
2630,18,81456,Shop-Trubka.ru
3186,18,148043,Shop-Trubka.ru
715,19,146282,Quke.ru
3807,15,41155,Video-shoper.ru
971,5,95766,https://www.svyaznoy.ru/
510,20,71252,iPort.ru
3739,19,124806,Quke.ru
3930,3,140339,https://www.eldorado.ru/
2193,21,12145,123.ru
2865,18,85813,Shop-Trubka.ru
1669,10,87874,https://kcentr.ru/
39,19,114205,Quke.ru
3271,9,132282,https://www.oldi.ru/
5238,12,89015,https://www.techport.ru/
482,8,138085,https://sbermegamarket.ru/
2456,17,89398,coxo.ru
4607,16,45933,Sold-Out.ru
5328,3,90189,https://www.eldorado.ru/
3402,2,63518,https://www.dns-shop.ru/
1711,17,35246,coxo.ru
602,9,133744,https://www.oldi.ru/
243,8,87528,https://sbermegamarket.ru/
4212,5,65430,https://www.svyaznoy.ru/
742,3,90151,https://www.eldorado.ru/
1894,17,95846,coxo.ru
2659,6,75568,https://re-store.ru/
347,8,51790,https://sbermegamarket.ru/
3424,13,71272,StoreX24.ru
3915,11,15345,https://ulmart-katalog.ru/
837,10,115209,https://kcentr.ru/
3348,5,81338,https://www.svyaznoy.ru/
4032,4,142961,https://biggeek.ru/
955,20,103215,iPort.ru
194,3,22116,https://www.eldorado.ru/
5412,21,56846,123.ru
3076,15,66349,Video-shoper.ru
1435,12,52311,https://www.techport.ru/
3565,9,106629,https://www.oldi.ru/
5020,3,37456,https://www.eldorado.ru/
4019,7,115574,https://www.holodilnik.ru/
4475,18,87757,Shop-Trubka.ru
3983,12,107172,https://www.techport.ru/
4328,1,19517,https://www.citilink.ru/
879,0,92169,https://www.mvideo.ru/
3185,0,80535,https://www.mvideo.ru/
5310,10,51386,https://kcentr.ru/
5561,6,58655,https://re-store.ru/
5311,15,59488,Video-shoper.ru
3914,1,94289,https://www.citilink.ru/
3588,6,132165,https://re-store.ru/
3410,15,50715,Video-shoper.ru
1819,17,46988,coxo.ru
5004,17,86121,coxo.ru
4301,9,122163,https://www.oldi.ru/
614,20,12749,iPort.ru
5417,3,72328,https://www.eldorado.ru/
2540,14,97124,Wishmaster.me
2373,3,34053,https://www.eldorado.ru/
4484,8,140773,https://sbermegamarket.ru/
4541,17,21588,coxo.ru
248,0,82856,https://www.mvideo.ru/
3840,18,100876,Shop-Trubka.ru
1902,17,100598,coxo.ru
1218,6,89944,https://re-store.ru/
3964,5,15980,https://www.svyaznoy.ru/
4406,12,66665,https://www.techport.ru/
5714,14,74367,Wishmaster.me
1285,6,51466,https://re-store.ru/
4561,19,86694,Quke.ru
3200,1,21514,https://www.citilink.ru/
4134,19,44568,Quke.ru
4570,11,62508,https://ulmart-katalog.ru/
2140,15,27812,Video-shoper.ru
4795,11,128012,https://ulmart-katalog.ru/
5136,8,74821,https://sbermegamarket.ru/
5680,6,123168,https://re-store.ru/
5551,9,22295,https://www.oldi.ru/
4798,5,20670,https://www.svyaznoy.ru/
790,14,61569,Wishmaster.me
2566,13,21575,StoreX24.ru
1764,18,11023,Shop-Trubka.ru
240,19,60788,Quke.ru
1752,16,86083,Sold-Out.ru
2100,0,113035,https://www.mvideo.ru/
595,19,148461,Quke.ru
91,10,31781,https://kcentr.ru/
1959,6,35142,https://re-store.ru/
2714,2,36458,https://www.dns-shop.ru/
4090,12,53412,https://www.techport.ru/
1024,7,84159,https://www.holodilnik.ru/
5382,21,71178,123.ru
290,17,104878,coxo.ru
4920,3,100569,https://www.eldorado.ru/
4525,17,135591,coxo.ru
1466,8,60882,https://sbermegamarket.ru/
5752,16,29601,Sold-Out.ru
1883,21,95984,123.ru
5416,10,94223,https://kcentr.ru/
2167,6,84205,https://re-store.ru/
3561,11,73112,https://ulmart-katalog.ru/
1344,6,88660,https://re-store.ru/
1189,4,104383,https://biggeek.ru/
5258,6,140252,https://re-store.ru/
2345,0,93658,https://www.mvideo.ru/
1132,5,22993,https://www.svyaznoy.ru/
831,3,107303,https://www.eldorado.ru/
2319,21,71922,123.ru
3819,21,111761,123.ru
1374,20,24521,iPort.ru
4718,20,63837,iPort.ru
1087,14,63088,Wishmaster.me
67,4,114416,https://biggeek.ru/
1992,15,60230,Video-shoper.ru
5557,14,83814,Wishmaster.me
3747,2,108686,https://www.dns-shop.ru/
3941,3,102438,https://www.eldorado.ru/
127,0,44520,https://www.mvideo.ru/
590,16,34502,Sold-Out.ru
2900,5,144252,https://www.svyaznoy.ru/
1420,4,125205,https://biggeek.ru/
2866,21,14606,123.ru
3755,5,83820,https://www.svyaznoy.ru/
4274,10,106549,https://kcentr.ru/
1052,4,36731,https://biggeek.ru/
913,14,79748,Wishmaster.me
2810,10,68158,https://kcentr.ru/
5186,7,102663,https://www.holodilnik.ru/
2077,7,120376,https://www.holodilnik.ru/
2674,8,116771,https://sbermegamarket.ru/
1841,6,127340,https://re-store.ru/
2258,5,30027,https://www.svyaznoy.ru/
1005,11,19802,https://ulmart-katalog.ru/
4144,5,106796,https://www.svyaznoy.ru/
5953,6,67497,https://re-store.ru/
5271,6,133477,https://re-store.ru/
1400,18,28117,Shop-Trubka.ru
4851,8,135200,https://sbermegamarket.ru/
1558,0,87656,https://www.mvideo.ru/
346,9,58213,https://www.oldi.ru/
3773,6,29488,https://re-store.ru/
2362,18,124199,Shop-Trubka.ru
5487,4,45754,https://biggeek.ru/
667,6,23569,https://re-store.ru/
314,16,25973,Sold-Out.ru
674,18,145624,Shop-Trubka.ru
2990,4,100658,https://biggeek.ru/
5855,7,44584,https://www.holodilnik.ru/
4579,10,141081,https://kcentr.ru/
1351,8,124514,https://sbermegamarket.ru/
3586,14,37696,Wishmaster.me
2007,16,87148,Sold-Out.ru
1074,21,54503,123.ru
966,20,101099,iPort.ru
492,3,112520,https://www.eldorado.ru/
3277,13,19787,StoreX24.ru
39,14,71981,Wishmaster.me
4318,11,44111,https://ulmart-katalog.ru/
5753,11,52800,https://ulmart-katalog.ru/
4045,7,54197,https://www.holodilnik.ru/
1318,15,60772,Video-shoper.ru
4883,19,74141,Quke.ru
315,4,16046,https://biggeek.ru/
660,16,98331,Sold-Out.ru
2822,5,32294,https://www.svyaznoy.ru/
1445,3,71563,https://www.eldorado.ru/
4686,13,43738,StoreX24.ru
682,18,68662,Shop-Trubka.ru
4106,16,98779,Sold-Out.ru
4220,21,15754,123.ru
816,19,116687,Quke.ru
2563,8,28371,https://sbermegamarket.ru/
4349,11,105117,https://ulmart-katalog.ru/
2643,13,59289,StoreX24.ru
2545,7,60189,https://www.holodilnik.ru/
5495,0,98957,https://www.mvideo.ru/
273,10,123108,https://kcentr.ru/
5944,6,121405,https://re-store.ru/
4248,14,57558,Wishmaster.me
3763,9,44735,https://www.oldi.ru/
3515,15,69330,Video-shoper.ru
3576,9,69738,https://www.oldi.ru/
4780,4,91573,https://biggeek.ru/
2432,17,16623,coxo.ru
5568,14,52765,Wishmaster.me
1530,8,95354,https://sbermegamarket.ru/
2734,16,75691,Sold-Out.ru
3718,14,44756,Wishmaster.me
3852,19,115185,Quke.ru
1285,1,54547,https://www.citilink.ru/
1794,20,29487,iPort.ru
4633,9,23531,https://www.oldi.ru/
1058,6,51097,https://re-store.ru/
5810,9,41564,https://www.oldi.ru/
5118,12,140882,https://www.techport.ru/
4495,13,100747,StoreX24.ru
3551,4,75550,https://biggeek.ru/
2970,8,50650,https://sbermegamarket.ru/
3674,7,55749,https://www.holodilnik.ru/
4464,8,72988,https://sbermegamarket.ru/
5051,15,89171,Video-shoper.ru
401,2,59867,https://www.dns-shop.ru/
5732,6,134477,https://re-store.ru/
5591,13,149799,StoreX24.ru
260,19,27367,Quke.ru
3237,10,80473,https://kcentr.ru/
4041,12,14108,https://www.techport.ru/
2333,3,33223,https://www.eldorado.ru/
1402,7,123366,https://www.holodilnik.ru/
5507,1,28526,https://www.citilink.ru/
4178,13,20775,StoreX24.ru
453,17,63014,coxo.ru
1284,10,34115,https://kcentr.ru/
982,21,139258,123.ru
4218,2,131290,https://www.dns-shop.ru/
1608,17,147446,coxo.ru
2720,21,62257,123.ru
1420,18,100935,Shop-Trubka.ru
5293,13,73550,StoreX24.ru
4367,0,88981,https://www.mvideo.ru/
1051,20,39928,iPort.ru
5267,9,78999,https://www.oldi.ru/
1486,18,73481,Shop-Trubka.ru
4541,5,28224,https://www.svyaznoy.ru/
4244,0,58088,https://www.mvideo.ru/
1539,2,11146,https://www.dns-shop.ru/
3932,1,116080,https://www.citilink.ru/
4599,20,18700,iPort.ru
631,9,146888,https://www.oldi.ru/
773,18,55950,Shop-Trubka.ru
3367,8,116097,https://sbermegamarket.ru/
2302,12,93725,https://www.techport.ru/
2659,6,21878,https://re-store.ru/
2428,16,37840,Sold-Out.ru
3635,19,34514,Quke.ru
3721,19,95435,Quke.ru
1937,20,148262,iPort.ru
3203,8,114409,https://sbermegamarket.ru/
4503,21,52609,123.ru
4370,20,84394,iPort.ru
2077,3,21458,https://www.eldorado.ru/
3961,4,21957,https://biggeek.ru/
1785,14,108882,Wishmaster.me
2417,2,55668,https://www.dns-shop.ru/
5510,1,87220,https://www.citilink.ru/
5158,1,140537,https://www.citilink.ru/
199,19,50436,Quke.ru
41,16,94299,Sold-Out.ru
237,0,77985,https://www.mvideo.ru/
5138,8,22475,https://sbermegamarket.ru/
489,13,88093,StoreX24.ru
3436,7,118330,https://www.holodilnik.ru/
1608,14,27520,Wishmaster.me
2525,19,113775,Quke.ru
4845,14,69180,Wishmaster.me
5650,13,71056,StoreX24.ru
944,17,48795,coxo.ru
1602,13,13254,StoreX24.ru
3654,3,126271,https://www.eldorado.ru/
1964,1,131726,https://www.citilink.ru/
3868,5,69980,https://www.svyaznoy.ru/
4382,14,13899,Wishmaster.me
1961,3,73361,https://www.eldorado.ru/
3107,12,125457,https://www.techport.ru/
816,2,109359,https://www.dns-shop.ru/
1310,14,16314,Wishmaster.me
1774,4,132344,https://biggeek.ru/
3623,19,116812,Quke.ru
3642,4,33954,https://biggeek.ru/
3692,0,121556,https://www.mvideo.ru/
107,10,77783,https://kcentr.ru/
4133,4,42188,https://biggeek.ru/
131,15,124249,Video-shoper.ru
4739,11,124329,https://ulmart-katalog.ru/
4367,1,52813,https://www.citilink.ru/
940,15,89901,Video-shoper.ru
8,9,83474,https://www.oldi.ru/
548,1,28032,https://www.citilink.ru/
428,1,110855,https://www.citilink.ru/
88,2,89736,https://www.dns-shop.ru/
775,21,18461,123.ru
3837,3,139387,https://www.eldorado.ru/
1550,21,30091,123.ru
2436,16,50595,Sold-Out.ru
4106,2,52168,https://www.dns-shop.ru/
4040,1,76892,https://www.citilink.ru/
5341,4,73965,https://biggeek.ru/
1132,17,23293,coxo.ru
4188,2,14510,https://www.dns-shop.ru/
5477,13,15913,StoreX24.ru
902,3,75192,https://www.eldorado.ru/
2725,19,112067,Quke.ru
3787,14,59893,Wishmaster.me
3962,21,121654,123.ru
5451,11,43521,https://ulmart-katalog.ru/
4572,16,89689,Sold-Out.ru
2808,10,145473,https://kcentr.ru/
911,3,104326,https://www.eldorado.ru/
1732,3,122303,https://www.eldorado.ru/
601,16,121383,Sold-Out.ru
1169,12,35685,https://www.techport.ru/
1104,4,59590,https://biggeek.ru/
2632,7,124482,https://www.holodilnik.ru/
